timestamp,lat,lon,course,direction,kts,mph,altft,climbft,datasource
Mon 11:13:17 AM,51.7103,-0.5182,141°,Southeast,231,266,8000, , FlightAware ADS-B  (LCY / EGLC) 
Mon 11:13:32 AM,51.6970,-0.5023,143°,Southeast,231,266,8000, , FlightAware ADS-B  (EGTF) 
Mon 11:13:47 AM,51.6855,-0.4887,143°,Southeast,232,267,8000, , FlightAware ADS-B  (CBG / EGSC) 
Mon 11:14:04 AM,51.6686,-0.4690,146°,Southeast,234,269,8000, , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:14:22 AM,51.6508,-0.4599,178°,South,248,285,8000, , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:14:38 AM,51.6329,-0.4673,207°,Southwest,265,305,8000, , FlightAware ADS-B  (CBG / EGSC) 
Mon 11:14:56 AM,51.6161,-0.4953,241°,Southwest,284,327,8000, , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:15:11 AM,51.6108,-0.5236,261°,West,290,334,8000,-714 , FlightAware ADS-B  (LTN / EGGW) 
Mon 11:15:38 AM,51.6071,-0.5783,265°,West,286,329,7500,-1000 , FlightAware ADS-B  (EGMJ) 
Mon 11:15:53 AM,51.6052,-0.6102,265°,West,282,325,7300,-800 , FlightAware ADS-B  (EGTC) 
Mon 11:16:08 AM,51.6032,-0.6438,265°,West,280,322,7100,-789 , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:16:31 AM,51.6004,-0.6921,265°,West,281,323,6800,-789 , FlightAware ADS-B  (EGTF) 
Mon 11:16:46 AM,51.5984,-0.7227,264°,West,281,323,6600,-968 , FlightAware ADS-B  (EGWE) 
Mon 11:17:02 AM,51.5955,-0.7564,258°,West,277,319,6300,-909 , FlightAware ADS-B  (EGLD) 
Mon 11:17:19 AM,51.5891,-0.7895,251°,West,273,314,6100,-632 , FlightAware ADS-B  (EGTB) 
Mon 11:17:40 AM,51.5804,-0.8289,251°,West,262,302,5900,-545 , FlightAware ADS-B  (EGTC) 
Mon 11:18:03 AM,51.5715,-0.8705,252°,West,247,284,5700,-698 , FlightAware ADS-B  (LTN / EGGW) 
Mon 11:18:23 AM,51.5615,-0.9017,236°,Southwest,229,264,5400,-857 , FlightAware ADS-B  (EGML) 
Mon 11:18:38 AM,51.5513,-0.9179,211°,Southwest,209,241,5200,-686 , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:18:58 AM,51.5339,-0.9239,184°,South,187,215,5000,-343 , FlightAware ADS-B  (EGTF) 
Mon 11:19:13 AM,51.5255,-0.9245,183°,South,187,215,5000,-200 , FlightAware ADS-B  (BBS / EGLK) 
Mon 11:19:28 AM,51.5095,-0.9210,153°,Southeast,170,196,4900,-375 , FlightAware ADS-B  (FAB / EGLF) 
Mon 11:20:01 AM,51.4941,-0.8888,122°,Southeast,162,186,4700,-500 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:20:16 AM,51.4877,-0.8726,122°,Southeast,162,186,4500,-774 , FlightAware ADS-B  (LTN / EGGW) 
Mon 11:20:32 AM,51.4817,-0.8578,121°,Southeast,157,181,4300,-581 , FlightAware ADS-B  (EGHP) 
Mon 11:20:47 AM,51.4781,-0.8450,105°,East,146,168,4200,-600 , FlightAware ADS-B  (LHR / EGLL) 
Mon 11:21:02 AM,51.4766,-0.8292,109°,East,148,170,4000,-811 , FlightAware ADS-B  (BHX / EGBB) 
